TIME,POT.Value,THER.Value
2608,0,502
2808,0,502
3009,0,502
3210,0,502
3410,0,502
3610,0,502
3811,0,502
4012,0,502
4212,0,502
4413,0,502
4614,0,502
4814,0,502
5015,0,502
5216,0,502
5416,1,502
5617,19,502
5818,36,502
6019,49,502
6219,56,504
6420,69,504
6621,81,504
6821,86,504
7022,88,504
7023,96,504
7424,107,507
7624,131,506
7825,158,507
8026,174,506
8226,181,507
8427,187,507
8628,192,509
9029,203,509
9230,216,509
9431,229,509
9631,234,509
9832,234,509
10033,234,510
10233,234,510
10434,234,510
10635,248,510
10835,275,510
11037,299,512
11238,315,512
11439,338,512
11840,374,512
12041,387,512
12241,391,512
12442,397,512
12643,406,512
12844,414,512
13044,419,512
13245,428,512
13446,435,512
13648,441,516
14049,451,516
14249,471,516
14450,479,516
14651,488,516
14852,492,516
15052,500,517
15253,505,517
15454,514,517
15654,516,517
15855,520,517
16056,522,517
16257,522,517
16458,521,519
16659,522,519
16860,522,519
17060,522,519
17261,521,519
17462,521,520
17662,521,520
17863,521,520
18064,521,520
18265,521,520
18465,521,520
18666,521,520
18867,521,521
19067,521,521
19269,521,521
19470,521,521
19671,521,521
19871,521,521
20072,521,521
20273,521,521
20473,521,521
20674,522,521
20875,521,522
21075,521,522
21276,521,522
21477,521,522
21678,521,522
21879,521,522
22080,521,522
22281,521,522
22481,521,522
22682,521,522
22883,522,522
23084,521,522
23284,521,522
23485,521,522
23686,521,522
23886,521,522
24087,521,522
24288,521,522
24488,521,522
24690,521,522
24891,522,521
25092,521,521
25292,521,521
25493,521,521
25694,521,521
25894,521,521
26095,521,521
26296,521,518
26497,521,518
26697,521,518
26898,522,518
27099,514,518
27300,507,518
27501,499,518
27702,494,518
27902,489,517
28103,475,517
28304,462,517
28505,449,516
28705,443,516
28906,438,516
29107,434,516
29307,421,516
29508,412,514
29709,404,514
29911,390,514
30111,378,514
30312,361,514
30513,356,514
30713,355,513
30914,355,513
31115,355,513
31315,345,513
31516,337,513
31717,328,513
31918,320,513
32118,314,513
32319,305,513
32520,303,513
32721,303,512
32922,299,512
33123,286,512
33324,267,512
33524,252,512
33725,237,512
33926,225,512
34126,201,512
34327,186,512
34528,175,512
34728,167,512
34929,159,512
35130,141,512
35332,125,511
35532,105,511
35733,81,511
35934,66,511
36134,65,511
36335,57,509
36536,47,509
36737,42,509
36937,41,509
37138,39,509
37339,36,509
37539,27,509
37740,24,509
37941,14,508
38141,8,508
38342,3,508
38543,3,508
38744,1,508
38944,1,508
39145,1,508
39346,1,507
39546,0,507
39747,0,507
39948,0,507
40148,0,507
40349,0,507
40550,0,507
40751,0,506
40951,0,506
41152,0,506
41353,0,506
41553,0,506
41754,0,506
41955,0,506
42156,0,506
42356,0,506
42557,0,506
42758,0,505
42958,0,505
43159,0,505
43360,0,505
43560,0,505
43761,0,505
43962,0,505
44163,0,505
44362,0,505
44563,0,505
