Ttime,Temp.
3,299.03
4,298.92
5,299.03
6,299.03
7,299.03
8,299.03
9,298.03
10,299.03
11,299.03
12,299.03
13,300.8
14,305.3
15,306.96
16,309.23
17,311.22
18,315.01
19,318.76
20,323.67
21,327.65
22,331.64
23,329.93
24,326.39
25,325.16
26,326.39
27,325.31
28,330.1
29,330.44
30,331.81
31,334.69
32,339.4
33,342.85
34,346.61
35,343.76
36,344.45
37,344.45
38,348.11
39,354.16
40,350.75
41,345.88
42,344.45
43,344.69
44,340.66
45,338.58
46,336.01
47,335.63
48,332.87
49,330.44
50,328.45
51,326.86
52,327.81
53,326.23
54,324.56
55,323.82
56,322.36
57,321.37
58,320.12
59,318.76
60,317.57
