T,F
2,624
3,624
4,624
5,625
6,627
7,628
8,628
9,626
10,625
11,624
12,624
13,625
14,627
15,628
16,628
17,627
18,625
19,624
20,624
21,625
22,626
23,628
24,628
25,627
26,625
27,624
28,624
29,625
30,626
31,627
32,629
33,628
34,626
35,625
36,624
37,624
38,625
39,626
40,628
41,628
42,627
43,625
44,624
45,624
46,625
47,626
48,628
49,628
50,627
51,626
52,624
53,624
54,625
55,625
56,627
57,628
58,628
59,626
60,625
61,624
62,624
63,625
64,626
65,628
66,628
67,627
68,625
69,624
70,624
71,625
72,626
73,628
74,629
75,627
76,626
77,624
78,624
79,625
80,626
81,627
82,628
83,628
84,626
85,625
86,624
87,624
88,625
89,626
90,628
91,628
92,627
93,625
94,624
95,624
96,624
97,625
98,627
99,628
100,627
101,626
102,625
103,624
104,624
105,625
106,627
107,629
108,627
109,626
110,625
111,624
112,624
113,625
114,626
115,628
116,628
117,627
118,625
119,624
120,624
121,625
122,626
123,628
124,628
125,627
126,625
127,624
128,624
129,624
130,625
131,627
132,629
133,628
134,626
135,625
136,624
137,624
138,625
139,626
140,628
141,628
142,627
143,625
144,624
145,624
146,624
147,626
148,628
149,628
150,627
151,626
152,624
153,624
154,624
155,625
156,627
157,629
158,628
159,626
160,625
161,624
162,624
163,625
164,627
165,628
166,628
167,626
168,625
169,624
170,624
171,624
172,626
173,627
174,629
175,627
176,626
177,624
178,624
179,624
180,625
181,627
182,628
183,628
184,626
185,625
186,623
187,624
188,625
189,626
190,628
191,628
192,627
193,625
194,624
195,624
196,624
197,626
198,627
199,628
200,627
201,625
202,624
203,623
204,623
205,624
206,625
207,626
208,625
209,624
210,622
211,621
212,620
213,621
214,623
215,624
216,624
217,622
218,620
219,619
220,619
221,619
222,621
223,622
224,623
225,622
226,620
227,618
228,618
229,618
230,619
231,621
232,622
233,621
234,620
235,618
236,617
237,617
238,618
239,620
240,622
241,622
242,620
243,618
244,617
245,617
246,617
247,619
248,621
249,621
250,620
251,619
252,617
253,617
254,617
255,618
256,620
257,621
258,620
259,619
260,618
261,617
262,617
263,618
264,619
265,621
266,621
267,620
268,618
269,617
270,617
271,618
272,619
273,621
274,621
275,620
276,618
277,617
278,617
279,617
280,618
281,620
282,622
283,621
284,619
285,617
286,617
287,617
288,618
289,619
290,621
291,621
292,620
293,618
294,617
295,617
296,617
297,619
298,620
299,621
300,620
301,618
302,617
303,617
304,617
305,618
306,620
307,621
308,620
309,619
310,617
311,617
312,617
313,618
314,619
315,621
316,621
317,619
318,618
319,617
320,617
321,617
322,618
323,620
324,621
325,620
326,618
327,617
328,617
329,617
330,618
331,620
332,622
333,620
334,619
335,618
336,617
337,617
338,618
339,619
340,621
341,621
342,619
343,618
344,617
345,617
346,617
347,619
348,620
349,621
350,620
351,618
352,617
353,617
354,617
355,618
356,620
357,621
358,620
359,619
360,617
361,617
362,617
363,618
364,619
365,621
366,621
367,620
368,618
369,617
370,617
371,618
372,619
373,621
374,621
375,620
376,619
377,617
378,617
379,618
380,619
381,620
382,622
383,621
384,619
385,618
386,617
387,617
388,618
389,619
390,621
391,621
392,620
393,619
394,618
395,617
396,618
397,619
398,621
399,622
400,621
401,619
402,618
403,617
404,617
405,619
406,620
407,622
408,621
409,620
410,618
411,617
412,617
413,618
414,619
415,621
416,621
417,620
418,619
419,617
420,617
421,618
422,619
423,621
424,621
425,621
426,619
427,618
428,617
429,618
430,619
431,620
432,622
433,621
434,620
435,618
436,618
437,618
438,618
439,619
440,621
441,622
442,620
443,619
444,618
445,617
446,618
447,619
448,621
449,622
450,621
451,619
452,618
453,617
454,618
455,618
456,620
457,622
458,621
459,620
460,618
461,618
462,618
463,618
464,619
465,621
466,622
467,620
468,619
469,618
470,617
471,618
472,619
473,620
474,622
475,621
476,619
477,618
478,618
479,618
480,619
481,620
482,622
483,621
484,620
485,619
486,618
487,618
488,618
489,619
490,621
491,622
492,620
493,619
494,618
495,617
496,618
497,619
498,620
499,622
500,621
501,620
502,618
503,618
504,618
505,618
506,620
507,622
508,621
509,620
510,618
511,617
512,618
513,618
514,619
515,621
516,622
517,620
518,619
519,618
520,617
521,617
522,619
523,620
524,621
525,621
526,620
527,618
528,618
529,617
530,618
531,620
532,622
533,621
534,620
535,619
536,617
537,618
538,618
539,619
540,621
541,622
542,621
543,619
544,618
545,617
546,618
547,619
548,621
549,622
550,621
551,619
552,618
553,617
554,617
555,618
556,620
557,622
558,622
559,620
560,618
561,617
562,617
563,618
564,619
565,621
566,622
567,621
568,619
569,618
570,617
571,617
572,619
573,621
574,622
575,621
576,619
577,618
578,618
579,617
580,618
581,620
582,622
583,621
584,620
585,618
586,617
587,617
588,618
589,619
590,621
591,622
592,620
593,619
594,618
595,617
596,618
597,619
598,621
599,622
600,621
601,619
602,618
603,617
604,617
605,618
606,620
607,622
608,621
609,620
610,618
611,617
612,617
613,618
614,619
615,621
616,622
617,620
618,619
619,618
620,617
621,618
622,619
623,620
624,622
625,621
626,619
627,618
628,617
629,617
630,619
631,620
632,622
633,621
634,620
635,618
636,617
637,617
638,618
639,619
640,621
641,622
642,620
643,618
